#Selection names:,"Selection 1, Selection 2, Selection 4, Selection 5"
"#Areas (Âµm^2): 7336355.0, 6867370.8, 484634.8, 1426664.0"
Selection,X,Y
Selection 1,10353.07553936995,3208.1019366946753
Selection 1,10506.180671863414,3291.907462098185
Selection 1,10513.607702039953,3304.9627885803843
Selection 1,10617.063911452226,3481.238707926701
Selection 1,10669.962160235656,3799.80801531678
Selection 1,10645.379464000285,4028.9435009976896
Selection 1,10675.551774092479,4313.97512524683
Selection 1,10805.273366264493,4819.051859700386
Selection 1,10851.556916296942,5285.678240010813
Selection 1,10698.509807476732,5884.269794525751
Selection 1,10472.449576478295,6074.452054228662
Selection 1,10037.155979725147,6176.631742829342
Selection 1,9436.610961543982,6316.913643533625
Selection 1,9104.696209305432,6388.244079187477
Selection 1,8933.526373205488,6429.905076584007
Selection 1,8701.06419692467,6437.757613697744
Selection 1,8439.802937485341,6415.379817046034
Selection 1,8089.146538785679,6304.689989701403
Selection 1,7557.050113820075,5964.110368923557
Selection 1,7332.092332613468,5714.918033521106
Selection 1,7349.286681121135,5536.901403977162
Selection 1,7401.9721764359665,5414.103970146817
Selection 1,7541.789887754215,5282.29352573765
Selection 1,7763.614390605093,5093.3104219486595
Selection 1,7943.6231662640985,4832.126527407004
Selection 1,8049.052180567013,4736.793632250322
Selection 1,8117.655503577918,4690.277987524857
Selection 1,8197.167277160615,4625.562250621985
Selection 1,8289.75371844993,4552.568469668177
Selection 1,8358.840572071287,4487.562614399035
Selection 1,8422.685953875345,4413.949914263849
Selection 1,8476.280486737825,4348.479869608673
Selection 1,8493.49417646991,4272.662269889826
Selection 1,8586.351394901078,4178.721942891246
Selection 1,8647.489005286607,4117.274872915029
Selection 1,8762.646655471814,4078.9405661184082
Selection 1,8842.487229869617,4022.2127549002003
Selection 1,8882.968412576645,3921.5610230285483
Selection 1,9004.005794984945,3827.6593784788047
Selection 1,9123.650609235145,3800.0787924586325
Selection 1,9260.70252546161,3777.8363843778484
Selection 1,9371.527741377167,3769.69372889784
Selection 1,9461.387070023533,3769.69372889784
Selection 1,9628.553272668938,3759.326832609753
Selection 1,9708.896718901611,3725.073524165346
Selection 1,9737.134906551999,3611.811313973111
Selection 1,9746.844201209871,3501.7210645854398
Selection 1,9756.011941584038,3357.570918997543
Selection 1,9826.974893973947,3308.4828914244736
Selection 1,9993.193376622867,3264.2301699559225
Selection 1,10160.45628539036,3229.1645300859564
Selection 1,10353.07553936995,3208.1019366946753
Selection 2,425.26372802195795,4111.994718648894
Selection 2,605.0017265391094,4125.456210843873
Selection 2,794.9325503245856,4141.702839355054
Selection 2,951.5384444377218,4141.7608630283075
Selection 2,1113.5792226123367,4147.46652423164
Selection 2,1226.1838311743575,4136.461367537756
Selection 2,1485.6850391916419,4176.207583716896
Selection 2,1692.4814106696767,4220.22821049243
Selection 2,1790.1545939809457,4251.290216907855
Selection 2,1875.4300524402295,4276.665903344367
Selection 2,1966.6045843470242,4301.809495087861
Selection 2,2051.1837587272576,4332.910183952123
Selection 2,2160.3843117916977,4383.31341478562
Selection 2,2245.0021686207665,4425.9027909542165
Selection 2,2302.77440595755,4479.013793206245
Selection 2,2374.4143012020922,4511.449026555353
Selection 2,2451.4890805081122,4566.745587166623
Selection 2,2532.0259389849675,4635.967829358907
Selection 2,2645.6362912167288,4704.416422574467
Selection 2,2733.890298236395,4750.719313831333
Selection 2,2823.6142383118345,4824.273990293265
Selection 2,2891.231158877418,4872.975193377973
Selection 2,2999.387285823281,4935.273277228585
Selection 2,3153.459479537651,4995.134366802521
Selection 2,3280.3185704957914,5046.601364979013
Selection 2,3376.17367871176,5099.248177845007
Selection 2,3502.452532937358,5211.079137430305
Selection 2,3590.7065399570242,5357.724300968134
Selection 2,3646.1771715880577,5446.133037783145
Selection 2,3712.7690072594833,5511.21625794996
Selection 2,3877.9817462386623,5580.612571162006
Selection 2,3970.084656917526,5654.496048439045
Selection 2,3773.8099115229206,5844.117412633831
Selection 2,3017.335942083253,5981.575494573076
Selection 2,2405.476307617517,5978.771017032455
Selection 2,2047.23814894597,6051.261926151392
Selection 2,873.1678030956905,6134.951404208394
Selection 2,-57.45455100430599,6033.970871521635
Selection 2,-738.4203803158167,5687.820978111385
Selection 2,-837.7569089270393,5375.247450290908
Selection 2,-554.3886299778532,4629.778637545123
Selection 2,-209.32184513501437,4303.144039572709
Selection 2,66.94820445273912,4199.977948526707
Selection 2,213.2065435022063,4177.097280040128
Selection 2,199.45493294095672,4178.006317587777
Selection 2,425.26372802195795,4111.994718648894
Selection 4,781.7418352714598,1607.209450386361
Selection 4,767.255258182323,1556.342030166829
Selection 4,873.535286359634,1480.3116769793844
Selection 4,967.727049275649,1467.0049145797504
Selection 4,1050.7009020291816,1471.434054971489
Selection 4,1128.7040601072697,1546.3039346938494
Selection 4,1124.5456968573842,1738.807141326929
Selection 4,1072.3630733774237,1887.425109755401
Selection 4,973.800193742924,2060.6644568680804
Selection 4,875.101925537498,2158.8598532386363
Selection 4,763.0775537080194,2270.8455426192786
Selection 4,677.7827540243178,2337.6694729837204
Selection 4,559.0082948729322,2471.6654757521296
Selection 4,490.9465261457337,2566.979029684393
Selection 4,467.06011398941365,2643.5509371555436
Selection 4,401.5320456609826,2717.415073208164
Selection 4,317.9005912772354,2676.50838356394
Selection 4,296.81865666153595,2581.6203365688743
Selection 4,290.70682974542484,2498.0082234095453
Selection 4,319.931419841133,2377.9765846709847
Selection 4,361.4376874423172,2211.6613958999756
Selection 4,384.02823756262643,2121.7633848047726
Selection 4,485.12481759589355,1953.5720972652105
Selection 4,557.364290797396,1826.01672222802
Selection 4,606.7230955123181,1739.7935437722506
Selection 4,781.7418352714598,1607.209450386361
Selection 5,1308.809541888366,809.7127439559604
Selection 5,1395.2067913638975,738.5370380974521
Selection 5,1414.4706508842983,730.800548330223
Selection 5,1555.6615891362308,679.2948677048948
Selection 5,1813.828252668668,605.2566606325117
Selection 5,2178.951887233048,530.5608519299142
Selection 5,2726.405244386602,448.80549631471985
Selection 5,2994.3392262501657,416.96984092257185
Selection 5,3125.4533865802823,446.89071509733066
Selection 5,3259.874896285889,545.666348200429
Selection 5,3295.675502683742,629.8393568678824
Selection 5,3269.835626861196,712.1942904400369
Selection 5,3235.0407641330835,807.3144321281195
Selection 5,3216.9180368533493,886.1105804073486
Selection 5,3138.1025473497016,979.8381539373299
Selection 5,3070.079461071339,1033.6260990439907
Selection 5,2959.737775766234,1072.7920784905884
Selection 5,2868.447196512929,1079.0779764264616
Selection 5,2786.6144760000625,1082.81083273915
Selection 5,2631.4204912694463,1096.9879502375975
Selection 5,2513.7484819098904,1107.9350832582268
Selection 5,2273.5304746374245,1119.5978415823245
Selection 5,1984.8433589732683,1138.2040994725105
Selection 5,1882.141457313301,1150.8726014663487
Selection 5,1744.7607402717292,1166.5776756938237
Selection 5,1510.9059958328094,1263.2644565597702
Selection 5,1435.2237846848905,1337.0512277147182
Selection 5,1403.6782476590136,1470.2735815064045
Selection 5,1394.220388918576,1613.9788789326863
Selection 5,1299.6031190653632,1699.2736786163878
Selection 5,1209.4923545015617,1700.4921757547263
Selection 5,1186.9985105033427,1609.1048903793317
Selection 5,1205.3726737005118,1533.267949436068
Selection 5,1221.7160083337835,1423.177700048397
Selection 5,1110.2525320124296,1415.3445041590776
Selection 5,1019.8709903067745,1378.8476136821737
Selection 5,937.148573470677,1325.562540410383
Selection 5,834.9688848699975,1194.0615555919053
Selection 5,840.9840056640181,1087.2593143553067
Selection 5,872.6842724852396,997.39998570894
Selection 5,1047.3548702048565,880.0180947156554
Selection 5,1308.809541888366,809.7127439559604