#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (Âµm^2): 14959343.2, 874458.4, 80421.4"
Selection,X,Y
Selection 1,10196.737517412541,4577.509915543096
Selection 1,10308.759587290782,4487.961784586897
Selection 1,10310.72366702643,4487.457728725537
Selection 1,10400.6368039512,4460.360380868255
Selection 1,10512.137436731484,4434.531863282674
Selection 1,10653.516415224833,4442.283894805668
Selection 1,10807.983464876957,4501.74510520962
Selection 1,10860.926711556416,4578.396358609627
Selection 1,10919.431953947444,4644.844826126232
Selection 1,10964.571025394114,4741.06735193631
Selection 1,10968.603472285,4863.187920278362
Selection 1,10943.956878788125,5055.632971898518
Selection 1,10873.68453921982,5269.404800825206
Selection 1,10761.679850578177,5453.732814953795
Selection 1,10684.455016370413,5577.834844268093
Selection 1,10585.208155392173,5718.014517436134
Selection 1,10546.152516755026,5801.739934131789
Selection 1,10477.583538373387,5962.863997401192
Selection 1,10227.32849382615,6233.281276402851
Selection 1,9898.527641089655,6519.7066743118585
Selection 1,9445.120703177501,6700.43677246453
Selection 1,9024.720733566168,6797.4240726849475
Selection 1,8572.148095010749,6894.341847958971
Selection 1,7994.500077891508,6868.791430158968
Selection 1,7784.6042647263175,6865.280420366043
Selection 1,7473.445367137444,6881.30592050999
Selection 1,6766.202849938735,6899.747412541148
Selection 1,6340.883990369986,6910.819260254482
Selection 1,5906.387837877154,6847.238696776653
Selection 1,5542.459505974805,6756.352210602358
Selection 1,5305.588013608523,6721.711406061267
Selection 1,4869.962080736779,6707.928085438544
Selection 1,4423.490256227484,6705.42518736834
Selection 1,4029.735722321867,6656.914156021532
Selection 1,3459.1097247884777,6601.780873530643
Selection 1,2947.406119324482,6585.564179784111
Selection 1,2627.4870784898926,6560.170193113496
Selection 1,2111.6988824252153,6533.107607729411
Selection 1,1902.2723626481882,6518.437844040158
Selection 1,1800.6442722559336,6491.097158870495
Selection 1,1671.293109488846,6436.311501111579
Selection 1,1500.8005596927746,6356.896631092388
Selection 1,1451.7854724846065,6312.539715292655
Selection 1,1386.7448851324914,6239.4689966319675
Selection 1,1355.093653286366,6161.740106562844
Selection 1,1372.5444148314018,6025.749311415076
Selection 1,1443.4077164440619,6002.145592114121
Selection 1,1539.2999987587648,5978.924260018336
Selection 1,1616.5248329665278,5937.713348042958
Selection 1,1675.3429376163292,5852.875532204991
Selection 1,1696.7566211058552,5775.980941492602
Selection 1,1717.1274303994626,5682.661082194498
Selection 1,1734.1958047393282,5570.152337691494
Selection 1,1749.4739117095337,5492.110585363595
Selection 1,1762.5272203951133,5412.087372063451
Selection 1,1776.0150599956592,5337.730441894464
Selection 1,1842.8111522442368,5313.309804473373
Selection 1,1961.5423794495543,5325.268095253238
Selection 1,2048.187843893781,5325.181189070245
Selection 1,2152.735982034608,5313.900766517727
Selection 1,2263.0720719627816,5320.940167340177
Selection 1,2335.7082597085036,5283.726939782487
Selection 1,2336.9597087436055,5283.118596501533
Selection 1,2407.788247883068,5283.3271713407175
Selection 1,2510.5808811274314,5224.717641530099
Selection 1,2616.5195181961503,5193.188078340164
Selection 1,2725.169628174256,5154.288870832404
Selection 1,2804.567116956849,5133.726867936212
Selection 1,2903.1013472345458,5119.422110215531
Selection 1,2992.023753673194,5124.132425333762
Selection 1,3077.9392061802773,5164.787137737984
Selection 1,3149.462994783685,5219.3989831309145
Selection 1,3338.9532361820716,5242.046734418945
Selection 1,3428.744704450652,5227.3769707296915
Selection 1,3514.2603885159656,5244.254151466972
Selection 1,3687.603461114214,5264.60757952398
Selection 1,3903.652232035324,5290.366572163167
Selection 1,4025.147075859826,5306.496359726706
Selection 1,4199.446116470999,5316.281995931741
Selection 1,4433.1368425397295,5314.926259477047
Selection 1,4685.807878974177,5355.876452903445
Selection 1,4863.565785668479,5415.911244115152
Selection 1,5016.485905263325,5500.384053984548
Selection 1,5290.761818789882,5677.342423795314
Selection 1,5278.473284514644,5677.342423795314
Selection 1,5370.837175799822,5655.668021756808
Selection 1,5525.617087710722,5574.567171787548
Selection 1,5626.967078317399,5476.328422532029
Selection 1,5788.716866104354,5384.138343612836
Selection 1,6033.1839588642415,5274.184640889832
Selection 1,6148.056551544661,5220.494001036629
Selection 1,6282.152791903178,5182.342186702611
Selection 1,6398.659220823868,5122.915738771858
Selection 1,6476.301204709999,5118.779004461381
Selection 1,6555.907268331775,5108.9064620733525
Selection 1,7314.25062113049,5026.623688015386
Selection 1,7758.497647355158,4950.70244655252
Selection 1,7987.165196046882,4886.026865168978
Selection 1,8222.315945989898,4826.096361376862
Selection 1,8495.948753762306,4724.589939640799
Selection 1,8769.651086481108,4634.416084167047
Selection 1,8977.73925104004,4581.646649853573
Selection 1,9096.29666587937,4557.625780874251
Selection 1,9265.224904381565,4536.66400953629
Selection 1,9380.67107786974,4530.528433016969
Selection 1,9500.91447265914,4537.5330713662215
Selection 1,9589.141629633843,4540.1750193292155
Selection 1,9726.5229237095,4543.18197326078
Selection 1,9811.777889225836,4544.207466220099
Selection 1,9892.21825220435,4543.998891380917
Selection 1,9978.237992131024,4550.4473301590115
Selection 1,10072.583344388448,4565.221381267857
Selection 1,10196.737517412541,4577.509915543096
Selection 2,9326.841388123748,4413.882954203489
Selection 2,9422.160089630697,4429.612973325258
Selection 2,9435.700072941037,4422.903815998184
Selection 2,9504.99906325982,4401.403226325664
Selection 2,9618.272582173164,4435.088062853832
Selection 2,9555.491555578874,4477.724236230297
Selection 2,9418.631698601173,4504.491340592204
Selection 2,9347.768396988511,4504.856346560777
Selection 2,9251.406821285645,4501.588674080232
Selection 2,9155.445014024548,4509.479755496015
Selection 2,9075.387038251207,4513.651252279688
Selection 2,8973.39394189038,4527.695291451391
Selection 2,8843.643010681524,4575.80655435643
Selection 2,8670.24779437348,4630.366256039564
Selection 2,8408.39946501495,4686.525031489774
Selection 2,8164.749290375199,4783.912100151961
Selection 2,7928.990197151231,4839.410388611422
Selection 2,7784.934508221691,4887.747607592243
Selection 2,7660.154610680048,4923.987485900409
Selection 2,7581.521896307794,4940.742997981499
Selection 2,7422.761681215806,4977.591219570619
Selection 2,7349.67358131852,4974.254022143679
Selection 2,7268.746543715247,4954.265600055242
Selection 2,7178.937694210069,4933.860028288437
Selection 2,7090.362912503392,4865.986299370744
Selection 2,7097.663031874821,4766.669913446108
Selection 2,7123.891317902172,4692.417270696713
Selection 2,7214.378035634698,4644.149576662287
Selection 2,7281.921521057017,4613.384787882692
Selection 2,7364.186913878386,4592.110154285955
Selection 2,7445.09657024506,4563.90040728636
Selection 2,7515.3167661035695,4531.832025761867
Selection 2,7681.776869008757,4479.723078439141
Selection 2,7762.373663116657,4456.710321182541
Selection 2,7854.442073379659,4453.025499023628
Selection 2,7974.772374352051,4449.531870467301
Selection 2,8054.082956951651,4447.758984334239
Selection 2,8146.985666571388,4410.267656990971
Selection 2,8208.72381896976,4302.834233574769
Selection 2,8284.019335915074,4244.589709732724
Selection 2,8360.653208078484,4229.2073153429255
Selection 2,8437.56518002747,4218.204992575987
Selection 2,8518.544361340539,4202.596642110407
Selection 2,8677.130764066542,4164.549115195981
Selection 2,8776.238575151994,4142.370657296115
Selection 2,8868.359129124792,4153.720604795028
Selection 2,8971.412480918136,4167.556069127546
Selection 2,9075.091557229029,4187.318535140201
Selection 2,9167.368542331214,4264.838850370141
Selection 2,9228.411445265643,4359.062533971373
Selection 2,9326.841388123748,4413.882954203489
Selection 3,8996.032793417247,4150.727766626244
Selection 3,8976.156799216751,4155.549710414746
Selection 3,8937.661130507648,4154.612917118486
Selection 3,8888.555733071133,4144.8891479425765
Selection 3,8842.464050502427,4136.203839552445
Selection 3,8810.308075961037,4130.5031981759785
Selection 3,8781.942846385906,4124.984105887935
Selection 3,8752.0671283951,4128.0922262817285
Selection 3,8706.077113315914,4138.4986200301055
Selection 3,8657.828627576753,4151.461224943471
Selection 3,8628.410413288771,4158.766760261592
Selection 3,8573.756875710065,4169.928398217807
Selection 3,8536.85157701554,4174.024145652618
Selection 3,8487.034507152408,4192.651082124766
Selection 3,8459.78761996196,4204.066888804773
Selection 3,8400.326662521826,4211.6265928466855
Selection 3,8357.430243909357,4201.997229196756
Selection 3,8368.722597209238,4167.786118974422
Selection 3,8435.118729827112,4145.136054702832
Selection 3,8482.22708729098,4116.335107315487
Selection 3,8552.19610596901,4069.981994059456
Selection 3,8596.072889658957,4041.885457135191
Selection 3,8627.706002825693,4016.9260884588666
Selection 3,8692.954745204737,3968.968081261181
Selection 3,8748.85734051179,3949.41161345631
Selection 3,8795.667957470647,3959.985032366036
Selection 3,8839.217952801433,3978.699112400627
Selection 3,8879.180538144992,3992.4677952665884
Selection 3,8919.68777075382,4005.401352325807
Selection 3,8955.794253459284,4026.148782150729
Selection 3,9011.98006534428,4079.473380402184
Selection 3,9018.84262088665,4114.091160582586
Selection 3,8996.032793417247,4150.727766626244